,precision,recall,f1-score,support
daisy,0.5324675324675324,0.43157894736842106,0.47674418604651164,95.0
dandelion,0.6056338028169014,0.6370370370370371,0.6209386281588448,135.0
roses,0.46464646464646464,0.4791666666666667,0.4717948717948718,96.0
sunflowers,0.4915254237288136,0.5523809523809524,0.5201793721973094,105.0
tulips,0.5652173913043478,0.5416666666666666,0.5531914893617021,120.0
accuracy,0.5372050816696915,0.5372050816696915,0.5372050816696915,0.5372050816696915
macro avg,0.5318981229928119,0.5283660540239488,0.5285697095118479,551.0
weighted avg,0.5379079782555446,0.5372050816696915,0.5361370834342869,551.0
