,precision,recall,f1-score,support
daisy,0.9772727272727273,0.9052631578947369,0.9398907103825137,95.0
dandelion,0.9777777777777777,0.9777777777777777,0.9777777777777777,135.0
roses,0.8865979381443299,0.8958333333333334,0.8911917098445595,96.0
sunflowers,0.963302752293578,1.0,0.9813084112149533,105.0
tulips,0.8934426229508197,0.9083333333333333,0.9008264462809917,120.0
accuracy,0.9401088929219601,0.9401088929219601,0.9401088929219601,0.9401088929219601
macro avg,0.9396787636878464,0.9374415204678362,0.9381990111001592,551.0
weighted avg,0.940679155894172,0.9401088929219601,0.9400736449413893,551.0
