,precision,recall,f1-score,support
daisy,0.6595744680851063,0.3263157894736842,0.43661971830985913,95.0
dandelion,0.49,0.725925925925926,0.5850746268656717,135.0
roses,0.4857142857142857,0.3541666666666667,0.40963855421686746,96.0
sunflowers,0.5092592592592593,0.5238095238095238,0.5164319248826291,105.0
tulips,0.5238095238095238,0.55,0.5365853658536586,120.0
accuracy,0.515426497277677,0.515426497277677,0.515426497277677,0.515426497277677
macro avg,0.533671507373635,0.4960435811751601,0.49687003802573726,551.0
weighted avg,0.5295236133866091,0.515426497277677,0.5052719511546945,551.0
